order_id,user_id,order_date,time,order_hour_of_day,product_name,quantity,price,category,product_id,month,hour,day
1000,341,2024-09-04,1900-01-01 15:43:00,15,Wheat Flour,1,333.44,Grains & Staples,457,9,15,4
1000,341,2024-09-04,1900-01-01 15:43:00,15,Dishwashing Liquid,2,405.92,Household,745,9,15,4
1000,341,2024-09-04,1900-01-01 15:43:00,15,Pastry,2,114.15,Bakery,849,9,15,4
1000,341,2024-09-04,1900-01-01 15:43:00,15,Marker,2,171.33,Stationery,599,9,15,4
1001,324,2024-03-07,1900-01-01 08:45:00,8,Saree,2,41.16,Clothing,329,3,8,7
1001,324,2024-03-07,1900-01-01 08:45:00,8,Spinach,2,181.65,Fruits & Vegetables,759,3,8,7
1001,324,2024-03-07,1900-01-01 08:45:00,8,Face Wash,2,335.04,Personal Care,608,3,8,7
1001,324,2024-03-07,1900-01-01 08:45:00,8,Energy Drink,3,292.11,Beverages,143,3,8,7
1001,324,2024-03-07,1900-01-01 08:45:00,8,Mixer Grinder,1,479.36,Electronics,862,3,8,7
1001,324,2024-03-07,1900-01-01 08:45:00,8,Fish,2,412.51,Meat & Seafood,519,3,8,7
1001,324,2024-03-07,1900-01-01 08:45:00,8,Apple,2,163.93,Fruits & Vegetables,612,3,8,7
1002,332,2024-02-27,1900-01-01 09:13:00,9,Cookies,3,466.75,Bakery,120,2,9,27
1002,332,2024-02-27,1900-01-01 09:13:00,9,Chicken Breast,3,478.7,Meat & Seafood,787,2,9,27
1002,332,2024-02-27,1900-01-01 09:13:00,9,Butter,2,130.36,Dairy & Eggs,796,2,9,27
1002,332,2024-02-27,1900-01-01 09:13:00,9,Dress,3,285.18,Clothing,214,2,9,27
1003,431,2024-07-23,1900-01-01 07:29:00,7,Vitamins,2,161.01,Health & Wellness,767,7,7,23
1003,431,2024-07-23,1900-01-01 07:29:00,7,Dishwashing Liquid,3,364.58,Household,702,7,7,23
1003,431,2024-07-23,1900-01-01 07:29:00,7,Apple,3,209.36,Fruits & Vegetables,783,7,7,23
1004,115,2024-06-18,1900-01-01 15:03:00,15,Pastry,3,289.1,Bakery,574,6,15,18
1004,115,2024-06-18,1900-01-01 15:03:00,15,Salt,1,176.26,Grains & Staples,308,6,15,18
1004,115,2024-06-18,1900-01-01 15:03:00,15,Notebook,1,88.43,Stationery,297,6,15,18
1004,115,2024-06-18,1900-01-01 15:03:00,15,Tissue,1,144.28,Household,764,6,15,18
1005,439,2024-02-08,1900-01-01 22:23:00,22,Biscuits,3,49.11,Snacks,687,2,22,8
1005,439,2024-02-08,1900-01-01 22:23:00,22,Cookies,1,447.7,Bakery,437,2,22,8
1005,439,2024-02-08,1900-01-01 22:23:00,22,Energy Drink,1,66.94,Beverages,600,2,22,8
1005,439,2024-02-08,1900-01-01 22:23:00,22,Chicken Breast,2,93.31,Meat & Seafood,512,2,22,8
